RMSE_3,MAPE_3,MAE_3,RMSE_6,MAPE_6,MAE_6,RMSE_12,MAPE_12,MAE_12
11.009870089146503,16.019025444984436,6.513259410858154,10.53493211258142,15.080095827579498,6.49585485458374,9.99389920102431,13.85372132062912,6.133614540100098
10.92302858211777,16.029566526412964,6.602452278137207,10.490524012420723,14.847442507743835,6.302614212036133,9.9464332206815,13.823562860488892,6.112393379211426
10.961090630612448,15.843118727207184,6.38471794128418,10.411658179060511,14.617231488227844,6.159505367279053,10.026066186387766,13.787032663822174,6.0571794509887695
10.945270328590244,15.9153550863266,6.464158058166504,10.461612465972136,14.734481275081635,6.204646110534668,9.944362358261204,13.758079707622528,6.0539069175720215
11.01169553972811,15.718282759189606,6.197875499725342,10.311162318544646,14.276084303855896,5.888133525848389,9.889085598630986,13.514004647731781,5.83009672164917
11.070169150448029,15.821978449821472,6.261470317840576,10.568725917975964,14.650849997997284,6.03859806060791,9.846282536325893,13.432863354682922,5.821303844451904
10.953065096572997,15.520328283309937,6.085019588470459,10.50613405797957,14.550669491291046,5.979367733001709,10.021900228594102,13.626191020011902,5.8528547286987305
11.011433987760036,16.168981790542603,6.696384429931641,10.543112754898337,15.094657242298126,6.491347789764404,10.229016294494174,14.38196748495102,6.468133449554443
10.937195168743203,15.571258962154388,6.152402400970459,10.49226821334368,14.679013192653656,6.111303329467773,9.879457650685065,13.516953587532043,5.8941779136657715
10.933967412224257,15.495389699935913,6.067469596862793,10.446542078316774,14.473271369934082,5.939767837524414,10.026653627157186,13.61725926399231,5.852643966674805
